fundingRate,time
0.00007703,1716814800068
0.00010295,1716818400022
0.00004979,1716822000021
0.00003736,1716825600098
0.00002063,1716829200110
0.00002419,1716832800076
0.00004292,1716836400020
0.00001907,1716840000029
0.00005883,1716843600053
0.00006893,1716847200068
0.00006332,1716850800043
0.00004726,1716854400180
0.00004632,1716858000054
0.00002183,1716861600034
0.00001745,1716865200012
0.0000125,1716868800059
0.0000125,1716872400083
0.0000125,1716876000026
0.0000125,1716879600014
0.0000125,1716883200092
0.0000125,1716886800099
0.00001604,1716890400011
0.00001694,1716894000013
0.0000125,1716897600027
0.00002062,1716901200109
0.00004506,1716904800001
0.00004101,1716908400007
0.00005758,1716912000097
0.00004206,1716915600023
0.00005395,1716919200043
0.00005637,1716922800011
0.00009971,1716926400078
0.00007538,1716930000120
0.00007668,1716933600077
0.00012498,1716937200010
0.00003908,1716940800118
0.00007792,1716944400038
0.00009701,1716948000102
0.000104,1716951600022
0.0001113,1716955200025
0.00012803,1716958800069
0.00002923,1716962400111
0.00004124,1716966000111
0.00002263,1716969600115
0.00003524,1716973200100
0.0000183,1716976800001
0.00005005,1716980400107
0.00003902,1716984000034
0.00005427,1716987600128
0.0000648,1716991200076
0.00003583,1716994800108
0.0000131,1716998400073
0.00002783,1717002000019
0.00005267,1717005600013
0.0000659,1717009200038
0.00006725,1717012800029
0.00008808,1717016400079
0.00008115,1717020000050
0.00006576,1717023600083
0.00006983,1717027200141
0.00003966,1717030800051
0.0000496,1717034400057
0.00007889,1717038000033
0.00003056,1717041600015
0.000051,1717045200016
0.0000291,1717048800140
0.00001866,1717052400110
0.00001264,1717056000013
0.0000125,1717059600079
0.00002919,1717063200079
0.00003781,1717066800039
0.0000125,1717070400025
0.00002989,1717074000035
0.00002628,1717077600038
0.0000125,1717081200018
0.0000125,1717084800137
0.0000125,1717088400050
0.0000125,1717092000070
0.0000125,1717095600016
0.0000125,1717099200024
0.0000267,1717102800094
0.0000125,1717106400108
0.0000125,1717110000071
0.0000125,1717113600057
0.0000125,1717117200124
0.0000125,1717120800062
0.00001749,1717124400104
0.0000125,1717128000110
0.00001943,1717131600001
0.00001966,1717135200122
0.0000125,1717138800081
0.0000125,1717142400092
0.0000125,1717146000113
0.0000125,1717149600048
0.0000125,1717153200109
0.0000125,1717156800106
0.00002903,1717160400025
0.00004099,1717164000111
0.0000125,1717167600105
0.00006488,1717171200124
0.00005823,1717174800074
0.00006434,1717178400080
