fundingRate,time
0.00000525,1723068000.835
-0.00000075,1723064400.623
0.000006875,1723060800.754
0.000006375,1723057200.685
0.00000375,1723053600.751
0.000008,1723050000.117
0.000002875,1723046400.094
-0.000008375,1723042800.15
0.0000095,1723039200.768
0.000002625,1723035600.211
0.0000045,1723032000.565
0.0000155,1723028400.801
0.000002,1723024800.427
-0.000000875,1723021200.458
-0.0000065,1723017600.596
-0.000000875,1723014000.728
0.000003,1723010400.296
0.000004125,1723006800.127
0.000005,1723003200.347
0.000001875,1722999600.557
0.00000025,1722996000.434
-0.000002875,1722992400.216
-0.000001,1722988800.787
0.000000125,1722985200.722
0.000005,1722981601.235
0.00000125,1722978000.725
0.000000125,1722974400.188
0.00000075,1722970800.389
0.00000725,1722967200.227
-0.000004125,1722963600.46
-0.000000375,1722960000.617
0.00000025,1722956400.23
0.000001375,1722952800.018
0.000000125,1722949200.91
0.000000375,1722945600.934
0.000004875,1722942000.633
-0.0000025,1722938400.481
-0.0000165,1722934800.021
-0.000009875,1722931200.119
-0.000009,1722927600.135
-0.00000425,1722924000.862
-0.000006625,1722920400.869
-0.000003875,1722916800.565
-0.00000275,1722913200.256
-0.000001375,1722909601.09
0.000008125,1722906000.24
0,1722902400.713
0.00000375,1722898801.039
-0.000000375,1722895200.532
0.00000075,1722891600.354
0.00001225,1722888001.106
-0.000011125,1722884401.02
-0.00000625,1722880800.056
-0.000000125,1722877200.509
-0.00002525,1722873600.182
-0.0000155,1722870000.079
-0.000004875,1722866401.602
-0.000009125,1722862800.745
-0.0000015,1722859201.235
-0.00002,1722855600.335
-0.000020375,1722852000.619
-0.00000225,1722848400.078
-0.000015,1722844800.329
-0.000040875,1722841200.083
-0.000005875,1722837600.166
-0.0000045,1722834000.585
0.000000125,1722830400.001
-0.00001025,1722826800.9
-0.000037,1722823200.57
0.000017875,1722819600.394
-0.000013125,1722816001.072
-0.00000325,1722812400.834
-0.000003125,1722808800.238
-0.000008875,1722805200.0
-0.0000235,1722801600.815
0.000006125,1722798000.229
-0.000006375,1722794400.139
0.000016375,1722790800.413
0.000000125,1722787200.05
0.000003625,1722783601.199
0.00000675,1722780000.821
0.00001025,1722776400.995
0.000005375,1722772800.532
0.0000005,1722769200.557
0.000009375,1722765600.563
0.000008125,1722762000.59
0.000004875,1722758400.375
0.00000375,1722754801.417
0.000001375,1722751200.632
-0.000000625,1722747600.68
0.00001125,1722744000.274
-0.000018625,1722740400.371
-0.000010625,1722736800.265
0.00000375,1722733202.264
0.000006125,1722729600.489
